,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
45,CHEMBL122115,CS(=O)(=O)c1ccc(C2=CC(=O)c3ccccc3S2(=O)=O)cc1,active,348.40100000000007,2.1012000000000004,0.0,5.0,7.0
46,CHEMBL123391,O=c1cc(-c2ccccc2)[s+]([O-])c2ccccc12,inactive,254.31,3.5946000000000016,0.0,2.0,5.0
47,CHEMBL333186,O=C1C=C(c2cccs2)S(=O)(=O)c2ccccc21,active,276.338,2.7592000000000008,0.0,4.0,6.337242168318426
48,CHEMBL121931,O=C1C=C(c2ccc([N+](=O)[O-])cc2)S(=O)(=O)c2ccccc21,active,315.30600000000004,2.605900000000001,0.0,5.0,7.221848749616356
49,CHEMBL332411,Cc1cccc2c1S(=O)(=O)C(c1ccc([N+](=O)[O-])cc1)=CC2=O,active,329.3330000000001,2.914320000000001,0.0,5.0,6.958607314841775
50,CHEMBL120448,CCOC(=O)c1ccc2c(c1)C(=O)C=C(c1ccc([N+](=O)[O-])cc1)S2(=O)=O,active,387.3690000000001,2.7826000000000013,0.0,7.0,6.7447274948966935
51,CHEMBL124175,O=C1C=C(c2ccncc2)S(=O)(=O)c2ccccc21,active,271.297,2.0927000000000002,0.0,4.0,7.0
52,CHEMBL263745,O=C1C=C(c2ccc(-c3ccccc3)cc2)S(=O)(=O)c2ccccc21,active,346.4070000000001,4.364700000000004,0.0,3.0,7.221848749616356
53,CHEMBL421093,CCCCCCCC1=CC(=O)c2ccccc2S1(=O)=O,intermediate,292.40000000000003,3.9010000000000034,0.0,3.0,5.853871964321762
54,CHEMBL123109,CC(C)c1cccc2c1S(=O)(=O)C(c1ccc([N+](=O)[O-])cc1)=CC2=O,active,357.38700000000006,3.729300000000003,0.0,5.0,6.7447274948966935
55,CHEMBL122199,O=C1C=C(c2ccccc2)S(=O)(=O)c2ccccc21,intermediate,270.309,2.697700000000001,0.0,3.0,5.823908740944319
56,CHEMBL124172,O=C1C=C(c2ccsc2)S(=O)(=O)c2ccccc21,inactive,276.338,2.7592000000000008,0.0,4.0,4.468521082957745
57,CHEMBL123989,Cc1cccc2c1C(=O)C=C(c1ccc([N+](=O)[O-])cc1)S2(=O)=O,active,329.333,2.914320000000002,0.0,5.0,7.0
58,CHEMBL331182,O=C1C=C(c2cccnc2)S(=O)(=O)c2ccccc21,active,271.297,2.0927000000000002,0.0,4.0,6.698970004336019
59,CHEMBL333256,O=C1C=C(c2ccc[n+]([O-])c2)S(=O)(=O)c2ccccc21,active,287.296,1.3311000000000002,0.0,4.0,6.221848749616356
60,CHEMBL333761,O=C1C=C(c2cc[n+]([O-])cc2)S(=O)(=O)c2ccccc21,active,287.29600000000005,1.3311000000000002,0.0,4.0,6.221848749616356
61,CHEMBL123991,CC(C)(C)C1=CC(=O)c2ccccc2S1(=O)=O,inactive,250.319,2.5866000000000007,0.0,3.0,4.468521082957745
62,CHEMBL51623,C[C@@H]1C(=O)N(C(=O)C2CCC2)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,356.422,2.5711000000000004,0.0,4.0,4.494850021680094
63,CHEMBL299435,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,active,538.6700000000002,2.4433000000000007,0.0,6.0,6.468521082957745
64,CHEMBL298633,CC(C)C(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,344.41100000000006,2.4270000000000005,0.0,4.0,3.899629454882437
65,CHEMBL50036,C[C@@H]1C(=O)N(C(=O)C(C)(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,358.43800000000005,2.817100000000001,0.0,4.0,3.3010299956639813
66,CHEMBL298136,CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,inactive,383.4480000000001,1.2855,0.0,4.0,4.301029995663981
67,CHEMBL51822,C[C@@H]1C(=O)N(C(=O)CCO)[C@H]2CCN(C(=O)OCc3ccccc3)C12,inactive,346.38300000000004,1.1533999999999995,1.0,5.0,3.876148359032914
68,CHEMBL300182,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc(C(=O)N(C)C)c3)[C@H]12,intermediate,516.6200000000002,0.9259000000000022,0.0,6.0,5.853871964321762
69,CHEMBL50828,CC(=O)N1C(=O)[C@H](C)[C@H]2[C@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,inactive,512.6320000000002,2.053200000000001,0.0,6.0,3.3010299956639813
70,CHEMBL296157,CC1CC1C(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,356.4220000000001,2.4270000000000005,0.0,4.0,5.0
71,CHEMBL50073,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)OCc1ccccc1,inactive,316.35699999999997,1.7908999999999997,0.0,4.0,4.102372908709558
72,CHEMBL417361,CC(NS(=O)(=O)c1cccc2c(N(C)C)cccc12)C(=O)N1CC[C@@H]2[C@@H]1[C@@H](C)C(=O)N2C(=O)C1CC1,intermediate,512.6320000000004,1.9569999999999996,1.0,6.0,5.154901959985743
73,CHEMBL298940,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)Cc3cccc(N(C)C)c3)[C@H]12,intermediate,502.6370000000002,1.4312000000000014,0.0,6.0,5.657577319177793
74,CHEMBL51153,CC(=O)N1C(=O)[C@@H](C)C2[C@@H]1CCN2C(=O)COc1ccccc1,inactive,316.35699999999997,1.0596999999999999,0.0,4.0,4.200659450546418
75,CHEMBL423120,CC(=O)N1C(=O)[C@H](C)C2[C@H]1CCN2C(=O)OCc1ccccc1,inactive,316.35699999999997,1.7908999999999997,0.0,4.0,3.0
76,CHEMBL300717,CC(=O)N1C(=O)C(C)C2C1CCN2C(=O)OCc1ccccc1,inactive,316.35699999999997,1.7908999999999997,0.0,4.0,3.958607314841775
